CIFAR10_iid,,,CIFAR10_niid,,,CIFAR100_iid,,,CIFAR100_niid,,,Shakespeare_iid,,,Shakespeare_niid,,,Cora_iid,,,Cora_niid,,,CiteSeer_iid,,,CiteSeer_niid,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy
FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,
119,88.05938808,,37,45.31,,151,49.76,,59,33.9,,79,41.96487017,,14,32.13791096,,64,68.66666667,,96,59,,175,75,,69,41.43124976
120,88.25752468,,38,52.1,,152,49.83,,60,34.33,,80,41.95941523,,15,34.60781824,,65,70.66666667,,97,58.33333333,,176,74,,70,50.28298917
121,88.17175619,,39,64.76,,153,49.46,,61,30.66,,81,41.9430504,,16,34.89219144,,66,70.66666667,,98,58.66666667,,177,75,,71,52.4928403
122,88.09039757,,40,64.55,,154,49.99,,62,32.02,,82,41.94850535,,17,32.96005549,,67,73.66666667,,99,59.66666667,,178,75.33333333,,72,52.92998746
FedAsync,,,41,49.2,,155,49.87,,63,33.64,,83,41.95396029,,18,38.76835075,,68,76.33333333,,100,59,,ScaleSFL,,,73,53.21610637
0,7.84,,42,63.84,,156,49.31,,64,27.83,,84,41.93214052,,19,33.76769308,,69,75,,101,59.66666667,,0,10,,74,49.02113295
0,55.66,,43,61.75,,157,49.34,,65,28.88,,85,42.07396902,,20,32.32030998,,70,74.66666667,,102,58.66666667,,1,10,,75,53.05597758
1,64.87,,44,67.92,,158,49.76,,66,30.88,,86,42.11760855,,21,32.91439729,,71,74.66666667,,103,60.66666667,,2,37.66666667,,76,48.46905789
2,68.46,,45,47.64,,159,49.82,,67,32.31,,87,42.09033384,,22,33.7178578,,72,75,,104,60,,3,37.66666667,,77,50.10595028
3,70.3,,46,57.11,,160,49.49,,68,32.98,,88,42.35762601,,23,36.82529657,,73,76,,105,60,,4,37.66666667,,78,60.11161905
4,72.2,,47,69.3,,161,49.51,,69,30.73,,89,42.42308532,,24,36.20506922,,74,77,,106,63.33333333,,5,37.66666667,,79,59.8376603
5,73.83,,48,57.91,,162,49.53,,70,32.26,,90,42.48308968,,25,30.18802296,,75,76.33333333,,107,62.66666667,,6,37.66666667,,80,59.34595244
6,74.51,,49,50.29,,163,49.53,,71,27.13,,91,42.47217979,,26,32.28864868,,76,78,,108,61,,7,37.66666667,,81,51.8198779
7,75.04,,50,51.39,,164,49,,72,32.86,,92,42.52127427,,27,39.11811083,,77,76.33333333,,109,61,,8,37.66666667,,82,51.21595022
8,75.41,,51,61.14,,165,48.62,,73,27.35,,93,42.63037312,,28,34.56341109,,78,78.33333333,,110,60.66666667,,9,37.66666667,,83,30.93405008
9,76.02,,52,58.23,,166,49.38,,74,29.05,,94,42.66855771,,29,31.64111247,,79,77.66666667,,111,61,,10,40,,84,39.6402334
10,76.16,,53,64.64,,167,48.94,,75,29.45,,95,42.71765219,,30,38.01875695,,80,75.33333333,,112,60.66666667,,11,49,,85,21.77837952
11,77.29,,54,65.21,,168,49.84,,76,31.46,,96,42.86493563,,31,35.60659594,,81,79,,113,60,,12,56.66666667,,86,34.84121038
12,77.53,,55,64.07,,169,49.29,,77,29.61,,97,43.06676849,,32,37.59062569,,82,77.66666667,,114,59.66666667,,13,56.66666667,,87,47.67491432
13,77.84,,56,66.2,,170,50.15,,78,31.25,,98,43.12677286,,33,35.38883825,,83,78,,115,60.66666667,,14,62.33333333,,88,33.35629501
14,77.98,,57,67.07,,171,49.58,,79,32.86,,99,43.15404757,,34,36.15292167,,84,78,,116,63.33333333,,15,68.33333333,,89,38.87679303
15,78.77,,58,50.25,,172,49.62,,80,35.27,,100,43.02312895,,35,36.40785284,,85,78.33333333,,117,60.33333333,,16,60.66666667,,90,49.25585116
16,79.12,,59,61.39,,173,49.81,,81,31.77,,101,43.02312895,,36,32.96848134,,86,78.33333333,,118,62,,17,60.33333333,,91,48.18693332
17,79.35,,60,66.88,,174,49.62,,82,25.97,,102,43.05585861,,37,38.03101631,,87,79,,119,65,,18,69,,92,47.0056581
18,79.21,,61,68.96,,175,49.85,,83,27.06,,103,43.05040367,,38,35.05889687,,88,78,,120,60.66666667,,19,66.66666667,,93,53.53994593
19,79.4,,62,64.91,,176,50.31,,84,27.84,,104,43.19223216,,39,34.05286672,,89,78,,121,65,,20,65,,94,57.081339
20,79.67,,63,60.86,,177,49.87,,85,28.86,,105,43.39951997,,40,36.33081321,,90,79.33333333,,122,65.33333333,,21,68,,95,54.37723685
21,79.94,,64,51.5,,178,48.62,,86,27.12,,106,43.45406939,,41,33.99625084,,91,79,,123,61,,22,68,,96,49.52237557
22,80.29,,65,76.04,,179,49.55,,87,28.72,,107,43.52498364,,42,31.75021945,,92,78.66666667,,124,64.33333333,,23,68.66666667,,97,49.57758468
23,80.49,,66,52.77,,180,49.85,,88,30.06,,108,43.60135283,,43,37.52293349,,93,79.66666667,,125,60.33333333,,24,69,,98,49.83290102
24,80.95,,67,62.69,,181,50.26,,89,31.58,,109,43.55771329,,44,35.95110496,,94,79.66666667,,126,61,,25,69.33333333,,99,35.44063189
25,81.19,,68,65.54,,182,49.56,,90,32.19,,110,43.29587606,,45,33.53695299,,95,80,,127,64.33333333,,26,68,,100,38.48117398
26,81.2,,69,65.81,,183,50.48,,91,30.95,,111,43.40497491,,46,31.72358957,,96,79,,128,62.66666667,,27,68.33333333,,101,46.90911737
27,81.1,,70,68.39,,184,49.99,,92,33.63,,112,43.50316387,,47,33.73689959,,97,78.33333333,,129,62.66666667,,28,69.33333333,,102,45.81699052
28,81.16,,71,69.69,,ScaleSFL,,,93,29.89,,113,43.63408248,,48,39.97621814,,98,78,,130,65.33333333,,29,69.33333333,,103,63.56667756
29,81.41,,72,67.84,,0,1.33,,94,31.32,,114,43.42133973,,49,37.89628178,,99,79,,131,65,,30,69.33333333,,104,61.01094102
30,81.1,,73,64.43,,1,5.16,,95,31.9,,115,43.42679468,,50,33.58469041,,100,79.33333333,,132,60.66666667,,31,69.33333333,,105,61.43277533
31,81.4,,74,67.79,,2,11.6,,96,34.24,,116,43.69408684,,51,38.49401352,,101,79.33333333,,133,61,,32,69.66666667,,106,64.79249432
32,82.06,,75,72.99,,3,14.11,,97,31.92,,117,43.62317259,,52,39.377617,,102,80.66666667,,134,65.33333333,,33,69.66666667,,107,64.86966954
33,82.13,,76,71.78,,4,15.89,,98,34.28,,118,43.73227144,,53,36.4034253,,103,79,,FedAsync,,,34,69.66666667,,108,64.9326386
34,82.24,,77,67.75,,5,17.24,,99,34.78,,119,43.73772638,,54,40.85502084,,104,78,,0,6.985223776,,35,69.33333333,,109,65.17571244
35,82.08,,78,63.83,,6,18.8,,100,33.12,,120,43.82500545,,55,33.36614684,,105,81.33333333,,0,6.781713741,,36,69.33333333,,110,65.93694235
36,82.36,,79,66.25,,7,20.3,,101,32.61,,121,43.72136155,,56,37.79413599,,106,81.66666667,,1,8.803530221,,37,69,,111,66.54112262
37,82.58,,80,65.46,,8,21.64,,102,33.59,,122,43.82500545,,57,41.21121568,,107,80.66666667,,2,12.64797452,,38,69.33333333,,112,62.86558157
38,82.75,,FedAT,,,9,23.17,,103,32.37,,123,43.79773074,,58,34.20256479,,108,82,,3,11.70661672,,39,69.66666667,,113,62.49946688
39,83.01,,0,10.37,,10,24.19,,104,34.19,,124,43.92864936,,59,39.29228914,,109,82,,4,12.52826721,,40,69,,114,62.17906938
40,83.11,,1,22.41,,11,24.88,,105,35.58,,125,44.0377482,,60,35.06287607,,110,81.66666667,,5,12.1354397,,41,68.66666667,,115,38.4308702
41,83.18,,2,22.82,,12,25.87,,106,36.59,,CSAFL,,,61,32.52520377,,111,81.66666667,,6,12.78068311,,42,69.66666667,,116,51.59666185
42,83.31,,3,21.69,,13,26.99,,107,35.44,,0,0.861169102,,62,33.5510398,,112,80.66666667,,7,15.92329382,,43,68.66666667,,117,40.82657902
43,83.49,,4,28.11,,14,29.51,,108,38.12,,1,19.95041754,,63,35.77147005,,113,81,,8,8.808771466,,44,69.33333333,,118,58.22429293
44,83.71,,5,34.96,,15,30.53,,109,39.59,,2,19.48068894,,64,34.81759613,,114,81,,9,8.680188814,,45,70.66666667,,119,63.54137069
45,83.73,,6,31.21,,16,32.1,,110,39.71,,3,20.62891441,,65,40.43604059,,115,81,,10,10.8728189,,46,71.33333333,,120,63.94569269
46,84.05,,7,32.47,,17,32.99,,111,37.23,,4,24.5302714,,66,36.16228516,,116,81.66666667,,11,10.61505821,,47,69.33333333,,121,63.59765586
47,84.34,,8,33.42,,18,34,,112,39.13,,5,24.25626305,,67,37.84141395,,117,81,,12,9.516227005,,48,69.33333333,,122,62.52947912
48,83.93,,9,34.44,,19,34.39,,113,39.46,,6,25.33924843,,68,33.16895734,,118,82.33333333,,13,10.25524984,,49,70.66666667,,123,64.76928527
49,84.11,,10,37.02,,20,35.83,,114,34.25,,7,28.00104384,,69,38.34002959,,119,82,,14,13.13152175,,50,70.33333333,,124,59.04187454
50,84.05,,11,37.59,,21,36.98,,115,35.41,,8,30.28444676,,70,31.48026097,,120,82.66666667,,15,14.94442702,,51,69.66666667,,125,59.35953796
51,84.31,,12,37.73,,22,37.73,,116,37.73,,9,30.98903967,,71,38.75711166,,121,82.33333333,,16,14.25030759,,52,69.33333333,,126,51.30457935
52,84.41,,13,38.35,,23,38.5,,117,40.12,,10,31.27609603,,72,35.38117946,,122,83.33333333,,17,22.88954391,,53,69.66666667,,127,52.95091544
53,84.59,,14,39.34,,24,39.07,,CSAFL,,,11,32.815762,,73,37.73458623,,123,82.33333333,,18,16.95403976,,54,69.66666667,,128,45.70407642
54,84.41,,15,40.27,,25,39.58,,0,0.84,,12,33.70302714,,74,36.7134264,,124,82.66666667,,19,9.691147436,,55,72.66666667,,129,50.98233946
55,84.52,,16,48.95,,26,40.25,,1,8.49,,13,35.12526096,,75,31.42638058,,125,82.33333333,,20,8.046103203,,56,72.33333333,,130,64.9543422
56,84.55,,17,51.06,,27,40.45,,2,13.46,,14,34.38152401,,76,33.17862159,,126,82.66666667,,21,8.094603277,,57,71.66666667,,131,63.803749
57,84.58,,18,51.86,,28,41,,3,13.91,,15,35.51670146,,77,34.55598756,,127,82,,22,8.194699675,,58,70.66666667,,132,61.61070094
58,84.61,,19,50.82,,29,41.5,,4,17.07,,16,35.72546973,,78,40.98695164,,128,82.66666667,,23,13.89567204,,59,70.66666667,,133,63.09314434
59,84.92,,20,50.77,,30,41.65,,5,20.4,,17,35.55584551,,79,38.72494507,,129,82,,24,20.0124963,,60,72,,134,64.91539055
60,84.98,,21,50.55,,31,42.13,,6,18.11,,18,36.59968685,,,,,130,82.33333333,,25,21.20808159,,61,72.66666667,,135,64.80172097
61,84.93,,22,50.03,,32,42.53,,7,20.46,,19,36.3256785,,,,,131,82.66666667,,26,18.36426289,,62,72.33333333,,CSAFL,
62,85.11,,23,50.37,,33,42.73,,8,22.06,,20,36.67797495,,,,,132,82,,27,13.38889918,,63,70.33333333,,0,18.60500732
63,85.19,,24,51.27,,34,43.32,,9,21.73,,21,37.25208768,,,,,133,82.33333333,,28,13.35362813,,64,69.33333333,,1,44.94921885
64,85.2,,25,50.99,,35,43.62,,10,22.66,,22,37.55219207,,,,,134,81.66666667,,29,21.08268856,,65,71.66666667,,2,46.88844733
65,85.25,,26,51.21,,36,44.15,,11,24.9,,23,37.99582463,,,,,135,81.33333333,,30,22.62010554,,66,71.33333333,,3,28.7167453
66,84.99,,27,50.55,,37,44.31,,12,28.15,,24,38.45250522,,,,,136,82,,31,21.34654143,,67,71,,4,30.14425769
67,85.34,,28,50.34,,38,44.47,,13,28.43,,25,38.62212944,,,,,137,82,,32,22.62008258,,68,72,,5,29.61936311
68,85.38,,29,47.3,,39,44.9,,14,30.15,,26,39.00052192,,,,,138,82.33333333,,33,20.37045439,,69,71.66666667,,6,29.19215458
69,84.97,,30,48.14,,40,45.14,,15,30.62,,27,39.05271399,,,,,139,82.66666667,,34,23.07764495,,70,70.33333333,,7,30.52014819
70,85.1,,31,46.32,,41,45.5,,16,27.84,,28,39.60073069,,,,,140,81.33333333,,35,17.81301268,,71,70.66666667,,8,28.69081456
71,85.06,,32,47.16,,42,45.89,,17,31.94,,29,39.36586639,,,,,141,81.33333333,,36,21.13517139,,72,70.33333333,,9,29.95016364
72,85.25,,33,47.22,,43,45.64,,18,31.22,,30,39.90083507,,,,,142,81.66666667,,37,21.01677258,,73,70.66666667,,10,29.26769145
73,85.33,,34,45.93,,44,46.06,,19,30.2,,31,39.60073069,,,,,143,81.33333333,,38,24.04216557,,74,72.33333333,,11,30.66719455
74,85.44,,35,46.29,,45,46.25,,20,30.7,,32,39.90083507,,,,,144,81.33333333,,39,22.87984161,,75,70,,12,28.80908322
75,85.55,,36,46.64,,46,46.58,,21,34.85,,33,39.83559499,,,,,145,81.33333333,,40,21.27031858,,76,70,,13,32.30463777
76,85.65,,37,46.88,,47,46.56,,22,36.65,,34,40.12265136,,,,,146,82.66666667,,41,18.29853116,,77,70,,14,35.47005096
77,85.69,,38,45,,48,46.59,,23,31.54,,35,40.63152401,,,,,FedAsync,,,42,20.94365569,,78,69,,15,34.65885925
78,85.91,,39,45.43,,49,46.79,,24,36.91,,36,40.76200418,,,,,0,7.666666667,,43,14.03111822,,79,69.66666667,,16,34.20995183
79,86.2,,40,57.5,,50,47.24,,25,37.28,,37,40.38361169,,,,,0,9.666666667,,44,13.82835111,,80,68,,17,39.844768
80,86.37,,41,60.51,,51,47.36,,26,34.26,,38,41.08820459,,,,,1,8.666666667,,45,16.27470423,,81,68.33333333,,18,36.50972239
81,86.52,,42,59.41,,52,47.54,,27,36.26,,39,41.11430063,,,,,2,10.33333333,,46,18.14078443,,82,69,,19,36.27052792
82,85.71,,43,59.69,,53,47.44,,28,36.07,,40,40.98382046,,,,,3,10.33333333,,47,22.07230232,,83,69.66666667,,20,35.58208624
83,85.87,,44,59.82,,54,47.61,,29,38.32,,41,41.06210856,,,,,4,10.33333333,,48,39.90589463,,84,69.66666667,,21,26.2848423
84,86.1,,45,59.43,,55,48.05,,30,36.38,,42,41.27087683,,,,,5,37.66666667,,49,38.38190045,,85,71.66666667,,22,31.76353981
85,86.13,,46,58.81,,56,48.4,,31,37.27,,43,41.03601253,,,,,6,35,,50,41.32661116,,86,72,,23,37.92032947
86,86.03,,47,56.07,,57,48.18,,32,38.47,,44,41.53183716,,,,,7,35,,51,38.75948264,,87,72.33333333,,24,35.34661825
87,86.12,,48,53.94,,58,48.23,,33,39.71,,45,41.40135699,,,,,8,42.33333333,,52,35.38471813,,88,72.33333333,,25,32.63254852
88,86.24,,49,52.87,,59,48.53,,34,37.8,,46,41.55793319,,,,,9,41,,53,39.13281795,,89,70.66666667,,26,37.3177602
89,86.41,,50,51.9,,60,48.71,,35,35.99,,47,41.96242171,,,,,10,36,,54,39.50385907,,90,69.66666667,,27,36.02466022
90,86.31,,51,60.12,,61,49.36,,36,37.12,,48,41.83194154,,,,,11,35,,55,39.83156934,,91,70.66666667,,28,33.09840669
91,86.41,,52,61.19,,62,49.28,,37,36.77,,49,41.92327766,,,,,12,35,,56,32.70217917,,92,70.66666667,,29,44.57869836
92,86.37,,53,63.07,,63,49.17,,38,37.65,,50,41.96242171,,,,,13,35,,57,34.49545593,,93,69,,30,32.86929445
93,86.41,,54,63.39,,64,49.47,,39,41.1,,51,42.39300626,,,,,14,35,,58,38.49789219,,94,70.66666667,,31,38.88725381
94,86.46,,55,63.4,,65,49.58,,40,42.75,,52,42.24947808,,,,,15,35,,59,38.01883981,,95,69,,32,59.66457928
95,86.47,,56,63.77,,66,49.62,,41,38.04,,53,42.53653445,,,,,16,35,,60,40.50407967,,96,69.33333333,,33,41.06157667
96,86.42,,57,62.59,,67,49.74,,42,42.79,,54,42.62787056,,,,,17,35,,61,34.06343201,,97,69.66666667,,34,39.36265742
97,86.39,,58,59.44,,68,49.87,,43,43.18,,55,42.56263048,,,,,18,35,,62,33.59306741,,98,70,,35,38.62964762
98,86.51,,59,60.33,,69,49.94,,44,43.79,,56,43.01931106,,,,,19,35,,63,33.30988783,,99,68.33333333,,36,46.53155688
99,86.53,,60,60.36,,70,50.41,,45,41.02,,57,42.95407098,,,,,20,36,,64,33.53979588,,100,69.66666667,,37,37.75340886
100,86.43,,61,58.48,,71,50.42,,46,42.8,,58,43.24112735,,,,,21,37.33333333,,65,37.69274859,,101,70.66666667,,38,59.73740809
101,86.78,,62,56.46,,72,50.35,,47,41.36,,59,43.6717119,,,,,22,36.66666667,,66,38.61831304,,102,68.66666667,,39,63.30861413
102,86.85,,63,55.26,,73,50.75,,48,38.99,,60,43.5934238,,,,,23,36.33333333,,67,39.34526554,,103,69,,40,59.86746853
103,86.88,,64,56.29,,74,50.96,,49,40.73,,61,43.55427975,,,,,24,36.33333333,,68,40.31480557,,104,68.66666667,,41,54.54078893
104,86.9,,65,56.47,,75,50.99,,50,42.02,,62,43.9065762,,,,,25,36.33333333,,69,40.25323112,,105,70.66666667,,42,62.10326564
105,86.89,,66,55.8,,76,51.46,,51,41.61,,63,44.0631524,,,,,26,36.33333333,,70,40.6219413,,106,70,,43,63.74311672
106,86.97,,67,56.52,,77,51.18,,52,46.7,,64,43.93267223,,,,,27,43.66666667,,71,39.55484638,,107,70.33333333,,44,56.00921108
107,86.9,,68,55.61,,78,51.32,,53,43.48,,65,43.9848643,,,,,28,45,,72,41.84074853,,108,69.66666667,,45,40.58605621
108,86.93,,69,56.12,,79,51.3,,54,42.17,,66,44.51983299,,,,,29,46,,73,44.63627354,,109,70.66666667,,46,62.1526203
109,86.68,,70,57.16,,80,51.21,,55,46.18,,67,44.27192067,,,,,30,46,,74,44.6116616,,110,70,,47,51.78540445
110,87.28,,71,57.3,,81,51.67,,56,44.05,,68,44.85908142,,,,,31,46,,75,41.31751861,,111,69,,48,62.06799082
111,87.05,,72,55.82,,82,51.48,,57,44.07,,69,44.6894572,,,,,32,46.33333333,,76,39.27735595,,112,69,,49,48.76799852
112,87.24,,73,56.25,,83,51.75,,58,45.09,,70,44.85908142,,,,,33,46,,77,25.77543144,,113,69,,50,43.73051817
113,87.2,,74,68.38,,84,51.94,,59,42.48,,71,44.65031315,,,,,34,46,,78,26.3911778,,114,69.33333333,,51,60.59710955
CSAFL,,,75,68.37,,85,51.8,,60,46.3,,72,45.0808977,,,,,35,44.66666667,,79,31.20516794,,115,70.66666667,,52,53.13114981
0,10.53743079,,76,56.39,,86,51.97,,61,46.02,,73,44.89822547,,,,,36,43.66666667,,80,33.59215783,,116,71,,53,59.53692604
1,58.35635164,,77,58.66,,87,52.23,,62,44.84,,74,44.80688935,,,,,37,44.66666667,,81,35.60184975,,117,70,,54,48.85916921
2,67.28264954,,78,47.09,,88,52.2,,63,42.2,,75,45.1591858,,,,,38,45.66666667,,82,45.26147416,,118,70,,55,52.77840521
3,72.74531706,,79,58.32,,89,52.37,,64,42.62,,76,45.53757829,,,,,39,46.66666667,,83,41.00357896,,119,70,,56,59.20911286
4,73.79846291,,80,60.32,,90,52.39,,65,44.48,,77,45.42014614,,,,,40,45.66666667,,84,42.31108356,,120,70.33333333,,57,58.06677493
5,75.50473009,,81,63.78,,91,52.78,,66,43.88,,78,45.45929019,,,,,41,45.33333333,,85,40.40655287,,121,70.66666667,,58,62.13921017
6,76.84627699,,82,64.98,,92,52.69,,67,43.05,,79,45.43319415,,,,,42,45.33333333,,86,39.43517032,,122,70.66666667,,59,59.24315493
7,77.79964272,,83,66.94,,93,52.77,,68,44.42,,80,45.61586639,,,,,43,46.33333333,,87,40.73843913,,123,71,,60,47.61639433
8,79.07958447,,84,66.63,,94,52.9,,69,42.74,,81,45.58977035,,,,,44,46.33333333,,88,29.45042157,,124,70.66666667,,61,61.19006954
9,79.25289271,,85,66.73,,95,53,,70,43.32,,82,45.72025052,,,,,45,47,,89,32.26037718,,125,71.33333333,,62,62.50386214
10,79.21049121,,86,67.19,,96,53.22,,71,42.6,,83,45.98121086,,,,,46,47.33333333,,90,26.28574456,,126,71,,63,56.24289563
11,79.77311616,,87,67.67,,97,53.45,,72,42.15,,84,45.69415449,,,,,47,47.33333333,,91,26.57566558,,127,70.66666667,,64,57.33446016
12,81.00293948,,88,68.35,,98,53.47,,73,42.55,,85,46.08559499,,,,,48,55,,92,26.80952785,,128,71,,65,54.19129259
13,80.59627457,,89,68.53,,99,53.72,,74,42.49,,86,46.13778706,,,,,49,57,,93,27.98804134,,129,71.33333333,,66,51.14386598
14,81.57648532,,90,68.73,,100,53.8,,75,43.34,,87,45.77244259,,,,,50,56.66666667,,94,28.08762074,,130,71.66666667,,67,61.83986106
15,82.20563445,,91,69.06,,101,53.69,,76,45.72,,88,46.16388309,,,,,51,56,,95,26.42332338,,131,71,,68,60.36953871
16,81.60334112,,92,69.13,,102,53.99,,77,47.02,,89,45.90292276,,,,,52,55.66666667,,96,38.5457777,,132,71.33333333,,69,43.29532158
17,82.4115914,,93,68.19,,103,54.06,,78,48.89,,90,46.33350731,,,,,53,56.66666667,,97,38.44634039,,133,71,,70,51.21789137
18,83.52936207,,94,68.28,,104,54.18,,79,45.61,,91,46.07254697,,,,,54,55.33333333,,98,41.53135024,,134,71.33333333,,71,60.69852308
19,82.87981544,,FedChain,,,105,54.25,,80,44.4,,92,46.32045929,,,,,55,57,,99,31.90948442,,135,69.66666667,,72,58.90379948
20,83.16729441,,0,8.14,,106,53.96,,81,48.16,,93,46.35960334,,,,,56,56.66666667,,100,37.50525866,,136,71,,73,56.29242828
21,83.98013462,,1,36.16,,107,54.33,,82,49.45,,94,46.49008351,,,,,57,54.66666667,,101,47.44828741,,137,71.33333333,,74,58.4528235
22,83.88264701,,2,35.54,,108,54.45,,83,47.97,,95,46.38569937,,,,,58,54.66666667,,102,48.59858992,,138,72,,75,63.02874616
23,83.24065759,,3,36.84,,109,54.52,,84,46.34,,96,46.52922756,,,,,59,54.66666667,,103,51.85505873,,139,72,,76,60.60785902
24,83.9490934,,4,42.83,,110,54.65,,85,50.53,,97,46.68580376,,,,,60,56,,104,45.37728732,,140,71.33333333,,77,59.43558205
25,84.67889866,,5,46.74,,111,54.6,,86,49.3,,98,46.81628392,,,,,61,58.33333333,,105,53.26610498,,141,72,,78,52.92820902
26,84.81240801,,6,53.64,,112,54.96,,87,45.5,,99,46.80323591,,,,,62,58.33333333,,106,61.37580402,,142,71.33333333,,79,53.83468426
27,85.14854895,,7,52.82,,113,54.96,,88,45.52,,FedAT,,,,,,63,58.33333333,,107,58.95129594,,143,71,,80,54.03055687
28,84.29449101,,8,49.67,,114,54.86,,89,46.57,,0,8.909634451,,,,,64,58,,108,61.24194703,,144,71,,81,55.2631717
29,85.19354328,,9,41.41,,115,54.99,,90,50.09,,1,27.31482959,,,,,65,60.33333333,,109,62.02687464,,145,72.33333333,,82,61.78298106
30,84.63246827,,10,56.87,,116,55.19,,91,47.13,,2,27.28420741,,,,,66,61.66666667,,110,61.19044746,,146,71,,83,47.63016597
31,85.03989897,,11,46.5,,117,55.25,,92,45.75,,3,27.11069694,,,,,67,66.66666667,,111,59.60456092,,147,71.33333333,,84,50.79709559
32,85.17272495,,12,62.46,,118,55.27,,93,48.16,,4,27.45762626,,,,,68,66.66666667,,112,64.15597884,,148,71.66666667,,85,61.84656005
33,85.25807049,,13,61.97,,119,55.23,,94,46.22,,5,27.82127652,,,,,69,66.33333333,,113,43.97805679,,149,71,,86,58.78715531
34,85.04036739,,14,60.39,,120,55.33,,95,46.89,,6,28.70029289,,,,,70,63.33333333,,114,47.28006705,,150,71.33333333,,87,50.36126452
35,86.01205532,,15,54.46,,121,55.6,,96,45.04,,7,31.59082313,,,,,71,64.66666667,,115,52.75162852,,151,71.66666667,,88,61.89718222
36,85.35050577,,16,62.28,,122,55.26,,97,50.04,,8,32.00580375,,,,,72,65,,116,53.08612796,,152,72.66666667,,89,62.93764617
37,85.64721991,,17,63.55,,123,55.53,,98,50.09,,9,32.8419507,,,,,73,65.33333333,,117,57.26219874,,153,72.66666667,,90,60.41442016
38,85.64481342,,18,67.49,,124,55.6,,99,50.77,,10,33.37229567,,,,,74,66.66666667,,118,57.79193345,,154,72,,91,48.15809863
39,85.58481666,,19,62.17,,125,55.79,,100,48.1,,11,33.92490742,,,,,75,65.66666667,,119,57.29357124,,155,72,,92,44.84583082
40,85.77336478,,20,58.54,,126,55.72,,101,45.86,,12,34.73009142,,,,,76,65.66666667,,120,56.87213295,,156,72,,93,49.76181743
41,85.66158863,,21,69.87,,127,55.83,,102,50.44,,13,35.61884948,,,,,77,65.33333333,,121,50.1995444,,157,71,,94,53.87594775
42,86.13949954,,22,74.13,,128,55.59,,103,49.79,,14,36.42542459,,,,,78,67,,122,50.92616292,,158,71.33333333,,95,63.90864611
43,85.63621311,,23,67.02,,129,55.96,,104,50.1,,15,36.17982098,,,,,79,66.66666667,,123,53.24783896,,159,71.66666667,,96,58.70478429
44,85.43540979,,24,69.75,,130,56.07,,105,49.85,,16,36.71776999,,,,,80,68,,124,48.741891,,160,70.66666667,,97,58.6105091
45,86.41594059,,25,68.2,,131,56.12,,106,47.33,,17,37.64522967,,,,,81,68.66666667,,125,60.2967685,,161,70.66666667,,98,53.9744439
46,85.90412999,,26,64.1,,132,55.97,,107,47.41,,18,38.90519702,,,,,82,65.66666667,,126,65.70852783,,162,71.33333333,,99,51.31925561
47,85.91729491,,27,51.69,,133,56.09,,108,50.78,,19,38.79431697,,,,,83,64.66666667,,127,63.1580366,,163,72.33333333,,100,53.6293729
48,86.04617726,,28,65.47,,134,56.02,,109,47.09,,20,38.34951325,,,,,84,65.66666667,,CSAFL,,,164,71.66666667,,101,61.89286697
49,85.95444236,,29,76.07,,135,56.15,,110,48.6,,21,39.5021934,,,,,85,67.66666667,,0,12.66666667,,165,71.33333333,,102,50.2084765
50,86.18135187,,30,65.37,,136,56.32,,111,51.03,,22,39.22229266,,,,,86,67.66666667,,1,11.33333333,,166,70.66666667,,103,39.35239737
51,86.02675494,,31,71.45,,137,56.57,,112,50.91,,23,40.23901378,,,,,87,65.33333333,,2,11.33333333,,167,70.33333333,,104,57.45810716
52,86.81377776,,32,75.46,,138,56.54,,113,48.44,,24,40.76196045,,,,,88,59.33333333,,3,11.33333333,,168,70.33333333,,105,61.36494938
53,86.33468957,,33,74.74,,139,56.57,,114,49.98,,25,40.5814307,,,,,89,59,,4,11.33333333,,169,70.66666667,,106,52.80072233
54,86.61045651,,34,62.3,,140,56.75,,115,47.47,,26,40.46353973,,,,,90,59.33333333,,5,18.66666667,,170,71,,107,61.88121593
55,86.67974684,,35,69.55,,141,56.71,,116,51.05,,27,41.1050999,,,,,91,60.33333333,,6,43.33333333,,171,72,,108,60.57969932
56,86.55976774,,36,75.42,,142,56.9,,117,48.14,,28,41.03337974,,,,,92,60.33333333,,7,35,,172,71.33333333,,109,64.57732671
57,86.36299264,,37,79.34,,143,56.91,,118,47.31,,29,40.6068969,,,,,93,61.33333333,,8,45,,173,70,,110,58.21252481
58,86.16237362,,38,73.35,,144,56.79,,119,47.72,,30,40.46632693,,,,,94,61.33333333,,9,40.33333333,,174,71,,111,55.73043038
59,86.54794524,,39,65.26,,145,56.8,,FedAT,,,31,41.25970737,,,,,95,60.66666667,,10,43.33333333,,175,72.33333333,,112,57.20255506
60,87.12117556,,40,77.11,,146,56.57,,0,1.01,,32,41.45165376,,,,,96,68.66666667,,11,11.33333333,,176,71.33333333,,113,61.2407061
